time,D0_x,D0_y,D0_z,D0_state,D1_x,D1_y,D1_z,D1_state
1779372879.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372879.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372879.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372879.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372879.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372879.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372880.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372880.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372880.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372880.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372880.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372880.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372880.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372880.733,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372880.833,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372880.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372881.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372881.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372881.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372881.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372881.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372881.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372881.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372881.733,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372881.833,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372881.933,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372882.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372882.133,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372882.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372882.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372882.433,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372882.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372882.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372882.733,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372882.833,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372882.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372883.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372883.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372883.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372883.333,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372883.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372883.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372883.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372883.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372883.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372883.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372884.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372884.133,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372884.233,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372884.333,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372884.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372884.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372884.633,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372884.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372884.833,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372884.933,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372885.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372885.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372885.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372885.333,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372885.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372885.533,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372885.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372885.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372885.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372885.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372886.033,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372886.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372886.233,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372886.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372886.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372886.533,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372886.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372886.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372886.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372886.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372887.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372887.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372887.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372887.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372887.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372887.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372887.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372887.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372887.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372887.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372888.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372888.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372888.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372888.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372888.433,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372888.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372888.633,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372888.733,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372888.833,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372888.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372889.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372889.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372889.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372889.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372889.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372889.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372889.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372889.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372889.833,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372889.933,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372890.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372890.133,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372890.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372890.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372890.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372890.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372890.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372890.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372890.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372890.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372891.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372891.133,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372891.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372891.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372891.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372891.533,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372891.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372891.733,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372891.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372891.933,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372892.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372892.133,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372892.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372892.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372892.433,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372892.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372892.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372892.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372892.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372892.933,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372893.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372893.133,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372893.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372893.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372893.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372893.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372893.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372893.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372893.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372893.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372894.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372894.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372894.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372894.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372894.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372894.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372894.633,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372894.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372894.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372894.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372895.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372895.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372895.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372895.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372895.433,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372895.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372895.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372895.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372895.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372895.933,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372896.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372896.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372896.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372896.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372896.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372896.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372896.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372896.733,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372896.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372896.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372897.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372897.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372897.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372897.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372897.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372897.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372897.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372897.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372897.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372897.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372898.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372898.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372898.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372898.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372898.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372898.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372898.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372898.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372898.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372898.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372899.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372899.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372899.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372899.333,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372899.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372899.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372899.633,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372899.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372899.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372899.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372900.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372900.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372900.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372900.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372900.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372900.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372900.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372900.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372900.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372900.933,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372901.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372901.133,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372901.233,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372901.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372901.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372901.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372901.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372901.733,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372901.833,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372901.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372902.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372902.133,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372902.233,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372902.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372902.433,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372902.533,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372902.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372902.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372902.833,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372902.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372903.033,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372903.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372903.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372903.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372903.433,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372903.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372903.633,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372903.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372903.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372903.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372904.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372904.133,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372904.233,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372904.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372904.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372904.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372904.632,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372904.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372904.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372904.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372905.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372905.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372905.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372905.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372905.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372905.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372905.633,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372905.732,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372905.832,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372905.932,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372906.032,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372906.132,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372906.232,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372906.332,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372906.432,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
1779372906.532,0.000,0.000,0.000,UNKNOWN,0.000,0.000,0.000,UNKNOWN
